update_size_mb,uplink_mbps,eta,upload_time_s,contact_window_s,feasible_in_one_pass
1200,0.128,0.7,107142.85714285714,600,False
1200,0.5,0.7,27428.57142857143,600,False
1200,1,0.7,13714.285714285716,600,False
1200,5,0.7,2742.8571428571427,600,False
1200,10,0.7,1371.4285714285713,600,False
80,0.128,0.7,7142.857142857143,600,False
80,0.5,0.7,1828.5714285714287,600,False
80,1,0.7,914.2857142857143,600,False
80,5,0.7,182.85714285714286,600,True
80,10,0.7,91.42857142857143,600,True
30,0.128,0.7,2678.5714285714284,600,False
30,0.5,0.7,685.7142857142858,600,False
30,1,0.7,342.8571428571429,600,True
30,5,0.7,68.57142857142857,600,True
30,10,0.7,34.285714285714285,600,True
15,0.128,0.7,1339.2857142857142,600,False
15,0.5,0.7,342.8571428571429,600,True
15,1,0.7,171.42857142857144,600,True
15,5,0.7,34.285714285714285,600,True
15,10,0.7,17.142857142857142,600,True
7.5,0.128,0.7,669.6428571428571,600,False
7.5,0.5,0.7,171.42857142857144,600,True
7.5,1,0.7,85.71428571428572,600,True
7.5,5,0.7,17.142857142857142,600,True
7.5,10,0.7,8.571428571428571,600,True
